Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type04,230,PCA_LINEAR,4.50098,4.19818,1.02541,0.41447,2.00958,0.51200,0.10054,132.21773,0.98376,0.99181,4.05070
Type04,230,PCA_SVR,5.11333,4.94705,2.15459,0.48670,5.55843,0.37980,2.15459,126.22292,0.97938,0.98958,4.76256
Type04,230,PURE_GPR,5.23789,5.02957,1.90379,0.39091,3.81406,0.13138,1.87931,37.30560,0.98136,0.99059,4.81044
Type04,230,PURE_KRR,4.47112,4.20297,0.55655,0.16686,0.25493,0.00240,0.55655,81.55847,0.99024,0.99510,4.01233
Type04,230,PURE_SVR,4.28317,4.00566,0.45899,0.13896,0.96985,0.01922,0.09678,96.36218,0.99232,0.99615,3.82966
Type04,235,PCA_GPR,8.49446,8.23909,21.04209,2.85746,39.47055,5.98951,21.04209,1265.30749,0.89966,0.94718,8.06465
Type04,235,PCA_KRR,4.99729,4.76646,2.67074,0.69275,0.92628,0.86217,0.01743,19.43475,0.97305,0.98634,4.59716
Type04,235,PCA_LINEAR,4.99313,4.78738,2.61464,0.65540,1.76539,0.82835,0.17073,43.64216,0.97625,0.98798,4.56256
Type04,235,PCA_SVR,5.09277,4.78833,2.60342,0.79010,0.89603,0.79499,0.35798,174.80641,0.96543,0.98241,4.64787
Type04,235,PURE_GPR,4.75463,4.57051,2.71180,0.65801,1.86090,0.79025,0.13060,23.47519,0.96892,0.98422,4.36743
Type04,235,PURE_KRR,4.78690,4.54274,2.59371,0.68989,0.21684,0.77258,0.32776,108.05136,0.96734,0.98340,4.39773
Type04,235,PURE_SVR,4.83849,4.56275,2.62229,0.73430,0.45164,0.85480,0.49616,140.65316,0.96682,0.98313,4.42218
Type04,235,RATIO_CTRL,2.11365,1.88481,3.30426,0.93808,4.27628,1.83355,0.08936,293.04182,0.96638,0.98290,1.73745
Type04,240,PCA_GPR,5.46110,4.93898,2.92825,1.32312,3.47947,1.06693,0.86693,125.80307,0.94314,0.97074,4.88967
Type04,240,PCA_KRR,4.57938,4.18465,2.61378,1.19914,1.74833,0.81958,0.10140,208.74743,0.94903,0.97385,4.14280
Type04,240,PCA_LINEAR,4.52325,4.15262,2.72128,1.09606,3.51328,1.03496,0.26661,272.41068,0.95212,0.97547,4.10741
Type04,240,PCA_SVR,4.86052,4.37357,3.00455,1.39262,1.07467,0.71006,0.64040,15.81898,0.94081,0.96950,4.33548
Type04,240,PURE_GPR,3.79155,3.48384,2.49898,1.16726,0.42689,0.53685,0.78835,133.99377,0.95252,0.97568,3.43477
Type04,240,PURE_KRR,4.29319,3.92595,2.42808,1.19822,0.59128,0.62114,0.44723,93.57971,0.95437,0.97665,3.87250
Type04,240,PURE_SVR,4.46425,4.07323,2.63466,1.25310,1.08956,0.73582,0.43866,88.79401,0.95562,0.97731,4.01627
Type04,240,RATIO_CTRL,1.82440,1.66998,3.32179,1.17790,6.49321,2.50198,0.15595,643.04901,0.95222,0.97552,1.66174
Type04,245,PCA_GPR,7.50264,7.25220,10.91864,1.78548,25.06306,2.10963,10.91864,1035.34564,0.93009,0.96378,7.11189
Type04,245,PCA_KRR,5.15508,4.86477,3.08951,1.29915,1.33387,0.84700,0.13893,270.73870,0.94683,0.97269,4.79874
Type04,245,PCA_LINEAR,5.11902,4.83252,3.18040,1.08729,2.82053,0.49167,0.44224,280.01646,0.95823,0.97867,4.75438
Type04,245,PCA_SVR,5.15891,4.82276,3.15221,1.36763,0.18497,0.95512,0.21825,189.46064,0.94048,0.96933,4.75937
Type04,245,PURE_GPR,4.21441,3.94279,2.93071,1.25746,1.35118,1.26943,0.99971,82.55369,0.94019,0.96918,3.88504
Type04,245,PURE_KRR,4.65637,4.38837,3.20650,1.29806,0.15272,1.24013,0.38382,154.91212,0.93860,0.96833,4.32360
Type04,245,PURE_SVR,4.71873,4.44535,3.16562,1.30712,0.76766,1.16510,0.36770,194.74063,0.94028,0.96922,4.37829
Type04,245,RATIO_CTRL,2.22718,1.89034,4.69236,1.34875,6.23914,1.48407,0.14003,775.95050,0.94567,0.97207,1.88060
Type04,250,PCA_GPR,5.56670,4.93625,4.92872,2.22085,1.17581,2.86016,0.02811,61.57692,0.92118,0.95897,4.66745
Type04,250,PCA_KRR,6.12937,5.39847,4.77848,2.32826,1.42480,2.75079,0.33941,199.87087,0.91675,0.95657,5.03895
Type04,250,PCA_LINEAR,6.16947,5.35135,4.30872,2.04365,0.44615,2.34485,0.56932,239.65572,0.92494,0.96101,4.94108
Type04,250,PCA_SVR,5.61943,4.98241,4.98236,2.26321,1.75067,2.91027,0.08784,92.94604,0.91984,0.95825,4.68684
Type04,250,PURE_GPR,5.51081,4.99213,4.76583,2.24468,4.19833,3.23977,0.79665,453.56818,0.91657,0.95647,4.22296
Type04,250,PURE_KRR,5.39361,4.86990,4.81692,2.24180,3.07010,3.37990,0.53665,326.94669,0.92106,0.95891,4.30085
Type04,250,PURE_SVR,5.22617,4.70839,4.79310,2.20039,2.84845,3.39156,0.68318,257.83403,0.92323,0.96008,4.22570
Type04,250,RATIO_CTRL,1.96365,1.74557,3.57884,1.11018,3.38252,0.10152,0.17633,385.63076,0.95740,0.97824,1.73692
Type04,260,PCA_GPR,5.49064,4.88963,4.43087,1.45890,11.18458,0.99875,4.07554,168.86102,0.94082,0.96951,3.55429
Type04,260,PCA_KRR,6.47068,5.36219,3.24558,1.21998,5.07968,0.02030,1.10386,445.10699,0.94615,0.97233,4.99529
Type04,260,PCA_LINEAR,6.72154,5.40228,3.63066,1.08261,5.05834,0.28799,1.08038,413.09336,0.95236,0.97560,4.98807
Type04,260,PCA_SVR,5.83619,4.95197,3.01613,1.25013,5.93812,0.04022,0.96179,607.56218,0.94635,0.97243,4.69697
Type04,260,PURE_GPR,6.26947,5.12339,3.45274,1.34944,3.81124,0.70784,0.16986,209.77849,0.93045,0.96397,4.20019
Type04,260,PURE_KRR,5.45790,4.60424,3.09145,1.38542,1.22237,1.06887,0.81055,184.28099,0.93011,0.96379,3.60915
Type04,260,PURE_SVR,5.16235,4.38486,3.43652,1.42537,0.04944,1.19944,1.32697,199.73382,0.92902,0.96320,3.44581
Type04,260,RATIO_CTRL,3.46543,3.17009,6.26055,2.11698,9.62793,3.81725,0.02275,1309.25563,0.92579,0.96146,2.93612
Type04,265,PCA_GPR,5.48129,4.74165,9.47551,2.28931,28.65297,1.40789,9.05768,1054.68949,0.92043,0.95857,4.11563
Type04,265,PCA_KRR,6.64056,5.62758,4.37560,1.02671,4.89521,1.11564,1.62308,130.81152,0.95706,0.97806,5.48126
Type04,265,PCA_LINEAR,6.63853,5.54197,4.48007,0.96883,4.01207,1.17827,1.30369,124.80443,0.96116,0.98020,5.38920
Type04,265,PCA_SVR,6.87067,5.89585,4.79011,1.05469,7.76607,1.37022,2.44662,244.09789,0.95579,0.97739,5.75435
Type04,265,PURE_GPR,6.09227,4.91780,4.39898,1.40954,3.33338,0.14785,0.35516,99.04868,0.93209,0.96485,4.58306
Type04,265,PURE_KRR,5.40337,4.41683,3.69322,1.37781,0.14399,0.11549,0.73814,225.75461,0.93283,0.96525,3.87528
Type04,265,PURE_SVR,5.30229,4.35697,3.45642,1.37072,1.16596,0.21539,1.13163,263.61828,0.93214,0.96488,3.78511
Type04,265,RATIO_CTRL,3.73313,3.21093,7.67264,2.41478,8.91549,5.21499,0.08672,1162.48984,0.92298,0.95995,3.19695
Type04,270,PCA_GPR,7.68251,6.35124,14.31653,2.66260,23.94144,0.45414,1.56071,944.70095,0.90414,0.94966,5.75002
Type04,270,PCA_KRR,6.80381,5.92810,3.60640,0.89468,6.69446,0.59100,1.96502,323.24224,0.96183,0.98054,5.70047
Type04,270,PCA_LINEAR,6.54399,5.68631,3.37306,0.87545,4.97988,0.44776,1.37863,326.78442,0.96377,0.98155,5.43216
Type04,270,PCA_SVR,7.72801,6.79679,4.60088,1.06112,11.63883,1.02385,3.62490,435.85771,0.95554,0.97726,6.59386
Type04,270,PURE_GPR,5.63065,4.64985,3.45633,1.35316,3.44933,0.70566,0.13357,33.04108,0.93202,0.96481,4.18145
Type04,270,PURE_KRR,5.38093,4.45761,3.16673,1.28072,1.75248,0.74585,0.67366,103.92688,0.93315,0.96542,3.74987
Type04,270,PURE_SVR,5.50661,4.56464,2.96495,1.24423,1.06221,0.77523,0.80062,167.99683,0.93321,0.96545,3.78167
Type04,270,RATIO_CTRL,3.78314,3.08623,6.84842,2.55462,10.19455,5.02703,0.00703,1510.05015,0.91912,0.95786,3.07416
Type04,280,PCA_GPR,6.73932,5.74436,3.93995,0.96861,6.10157,0.95832,1.63365,229.13427,0.96228,0.98078,5.56196
Type04,280,PCA_KRR,6.62446,5.58704,3.59821,0.90049,3.78901,0.79207,0.98498,87.11902,0.96355,0.98144,5.32851
Type04,280,PCA_LINEAR,6.87424,5.84976,3.78131,0.87780,5.54447,0.77031,1.67567,136.55198,0.96273,0.98101,5.64725
Type04,280,PCA_SVR,6.02018,5.08506,2.75849,0.83060,0.63989,0.41889,0.44388,50.65385,0.96630,0.98286,4.68334
Type04,280,PURE_GPR,5.00298,4.21886,4.28738,1.38635,4.24785,1.02816,3.07242,527.48284,0.93035,0.96392,2.82770
Type04,280,PURE_KRR,5.30208,4.30286,3.72302,1.37440,0.08270,0.71366,1.80649,336.30652,0.93003,0.96374,3.23780
Type04,280,PURE_SVR,5.31209,4.26330,3.89661,1.39288,0.91587,0.74516,1.50089,321.87380,0.92901,0.96320,3.32329
Type04,280,RATIO_CTRL,4.55709,3.89986,7.94176,3.01080,11.31884,6.37826,0.01216,1623.14849,0.90774,0.95164,3.88453
Type05,240,PCA_GPR,4.95306,4.59293,0.87344,0.18098,0.19568,0.03594,0.66177,61.33694,0.98433,0.99210,4.23978
Type05,240,PCA_KRR,4.94137,4.66656,1.06532,0.41242,0.81635,0.21771,0.78352,71.93046,0.98034,0.99007,4.43908
Type05,240,PCA_LINEAR,4.79378,4.45589,1.51725,0.57091,0.89551,0.22885,0.03522,152.12121,0.96406,0.98170,4.13466
Type05,240,PCA_SVR,5.20857,4.91823,1.40803,0.39509,2.58331,0.21981,1.40803,61.17674,0.97583,0.98776,4.63636
Type05,240,PURE_GPR,8.73991,8.48003,4.58000,1.19870,12.13319,0.91797,4.58000,265.69316,0.93979,0.96896,8.18984
Type05,240,PURE_KRR,4.88616,4.59807,1.02808,0.37686,0.13889,0.06432,0.67944,57.97142,0.98217,0.99100,4.35667
Type05,240,PURE_SVR,4.32298,4.03663,0.73502,0.16626,0.94903,0.00041,0.33450,84.99212,0.98822,0.99407,3.71693
Type05,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type05,260,PCA_GPR,4.76367,4.30122,3.69821,1.50723,2.74948,1.62189,1.14418,157.58335,0.93339,0.96555,4.21389
Type05,260,PCA_KRR,5.84155,4.88751,4.96427,1.61029,2.57160,1.58125,0.15976,255.23861,0.92916,0.96328,4.53965
Type05,260,PCA_LINEAR,5.06781,4.62263,3.13603,1.46423,0.91148,1.89843,0.01597,35.26198,0.93460,0.96619,4.53000
Type05,260,PCA_SVR,6.89665,6.05633,4.52012,2.14019,1.25805,2.08474,0.98124,116.50432,0.90533,0.95031,4.56338
Type05,260,PURE_GPR,7.37957,6.04379,5.69420,1.84379,4.52751,2.32155,0.66353,59.50776,0.92341,0.96018,5.03884
Type05,260,PURE_KRR,5.97163,4.99893,6.33234,1.83595,6.13714,2.33031,0.25744,70.72235,0.93222,0.96492,4.67558
Type05,260,PURE_SVR,5.57895,4.80989,6.94548,1.78440,7.45297,2.29251,0.52255,136.74763,0.92937,0.96339,4.74336
Type05,260,RATIO_CTRL,3.04389,2.70598,4.67819,2.10393,5.06729,4.40327,0.12489,598.49828,0.92006,0.95837,2.69248
Type05,280,PCA_GPR,11.14043,9.41551,21.91606,5.37613,67.82935,4.14121,21.47073,2461.81469,0.81277,0.89671,9.46321
Type05,280,PCA_KRR,7.55243,6.51411,4.20253,1.51316,8.41317,0.86211,3.11879,86.75055,0.92949,0.96346,4.15146
Type05,280,PCA_LINEAR,5.12827,4.71604,3.45748,1.12543,0.61378,0.90863,0.24235,151.50656,0.95301,0.97594,4.63386
Type05,280,PCA_SVR,8.08440,7.56962,10.90661,5.24032,26.43615,2.54498,10.00408,879.15539,0.81316,0.89695,6.68261
Type05,280,PURE_GPR,9.95824,9.05583,10.68582,2.50804,8.17703,1.65464,0.11295,754.58854,0.90937,0.95253,5.63265
Type05,280,PURE_KRR,8.04635,7.36267,9.85931,2.73629,2.26234,1.16103,2.66709,455.70356,0.90516,0.95022,4.79312
Type05,280,PURE_SVR,9.86683,8.90938,10.68015,2.51487,7.64846,1.60642,0.14149,722.51595,0.91006,0.95291,5.77015
Type05,280,RATIO_CTRL,4.55419,4.01016,6.51475,2.59721,6.46058,5.71046,0.01597,1034.43802,0.90510,0.95019,3.40672
Type06,230,PCA_GPR,19.27102,18.03998,27.30259,6.10279,84.35245,5.99487,27.30259,2882.34750,0.79348,0.88485,17.98738
Type06,230,PCA_KRR,4.35434,4.14734,0.85716,0.25662,0.89268,0.07843,0.79069,17.71681,0.98678,0.99335,3.93331
Type06,230,PCA_LINEAR,4.18291,3.87117,1.16084,0.41349,0.12957,0.04493,0.03720,173.49688,0.98021,0.99001,3.58896
Type06,230,PCA_SVR,4.76033,4.62149,1.67257,0.38410,3.75097,0.19583,1.67257,73.52961,0.98060,0.99020,4.43356
Type06,230,PURE_GPR,5.71207,5.58248,3.03513,0.77948,8.20609,0.65492,3.03513,270.63808,0.96700,0.98322,5.36215
Type06,230,PURE_KRR,4.31104,4.10796,0.77624,0.24082,0.69395,0.01507,0.71496,6.46236,0.98674,0.99332,3.90901
Type06,230,PURE_SVR,4.07077,3.88001,0.75185,0.15836,0.48405,0.04784,0.42836,62.03029,0.99047,0.99521,3.69901
Type06,240,PCA_GPR,13.31017,12.62766,17.00967,4.52081,54.09471,4.04508,17.00967,2026.75387,0.84064,0.91342,12.50278
Type06,240,PCA_KRR,3.79618,3.46813,2.78108,0.94270,1.70139,0.30450,0.76989,153.22170,0.95526,0.97712,3.27718
Type06,240,PCA_LINEAR,4.01006,3.63163,2.77026,0.82209,0.23286,0.23423,0.38186,275.21347,0.96722,0.98334,3.40191
Type06,240,PCA_SVR,3.45542,3.16491,3.60606,1.12652,4.19867,0.49138,1.52199,70.70427,0.94800,0.97331,3.07169
Type06,240,PURE_GPR,3.62693,3.28151,2.64018,0.83447,0.87735,0.14792,0.95451,307.89247,0.96253,0.98091,3.01529
Type06,240,PURE_KRR,3.80581,3.50300,2.88436,0.99578,0.31238,0.40209,0.63714,281.91076,0.96273,0.98101,3.38334
Type06,240,PURE_SVR,4.10647,3.79765,2.51436,0.94108,0.28075,0.61897,0.43853,257.37231,0.96436,0.98185,3.60519
Type06,240,RATIO_CTRL,3.27061,2.88929,2.64496,1.02739,2.51395,1.50149,0.35224,399.74588,0.96155,0.98040,1.95636
Type06,250,PCA_GPR,8.05453,7.97257,7.31068,2.09553,21.26372,1.52206,7.31068,594.37091,0.91961,0.95812,7.86237
Type06,250,PCA_KRR,4.38039,4.17501,1.99911,0.62930,1.12978,0.03606,0.11311,50.51817,0.97307,0.98635,4.06787
Type06,250,PCA_LINEAR,4.47124,4.25798,1.94604,0.65816,1.47749,0.08472,0.01324,156.03856,0.96967,0.98460,4.14789
Type06,250,PCA_SVR,4.92347,4.75566,2.47780,0.65959,2.80528,0.29069,1.01470,121.45089,0.97461,0.98714,4.62601
Type06,250,PURE_GPR,4.11187,3.87642,2.16487,0.72958,1.50519,0.07958,0.68023,93.08440,0.96496,0.98217,3.79740
Type06,250,PURE_KRR,4.47821,4.27965,2.12544,0.70294,0.66763,0.10712,0.08258,133.20565,0.97101,0.98529,4.18547
Type06,250,PURE_SVR,4.51504,4.27249,1.87484,0.64908,1.04459,0.15372,0.02883,147.44754,0.97247,0.98605,4.16682
Type06,250,RATIO_CTRL,2.10548,2.03335,2.78942,1.42521,2.89220,2.48546,0.08042,291.53423,0.95244,0.97564,2.02501
Type06,270,PCA_GPR,6.69553,5.54427,13.91065,2.97753,43.59248,3.84100,13.75273,1381.34481,0.88967,0.94161,5.35906
Type06,270,PCA_KRR,5.54528,4.96171,4.16439,1.15244,2.62189,1.01251,0.88711,126.01048,0.94705,0.97280,4.83343
Type06,270,PCA_LINEAR,5.49957,4.83628,3.95000,1.18323,4.37093,1.06637,1.14485,54.51592,0.93617,0.96704,4.71524
Type06,270,PCA_SVR,5.80210,5.48701,4.45576,1.40855,0.53206,0.44394,0.04626,202.41285,0.94156,0.96990,5.36239
Type06,270,PURE_GPR,6.04094,5.34216,4.24088,1.25007,0.62128,0.69479,0.42536,418.61734,0.95113,0.97495,5.20072
Type06,270,PURE_KRR,5.62837,5.03760,4.49197,1.25336,0.42020,0.71741,0.87262,544.93662,0.94115,0.96968,4.90435
Type06,270,PURE_SVR,5.46880,4.93158,4.78263,1.12718,0.12245,0.72136,0.74587,464.58701,0.94891,0.97379,4.79115
Type06,270,RATIO_CTRL,4.22306,4.02935,5.08295,2.14611,4.01098,4.08028,0.92899,1114.17069,0.92807,0.96270,2.56854
Type06,280,PCA_GPR,12.69791,10.89944,23.97727,5.52512,76.87333,6.81312,23.85756,2840.11122,0.82203,0.90232,10.46903
Type06,280,PCA_KRR,6.27952,5.28378,4.75279,1.24313,11.31258,1.89413,1.89051,1043.12956,0.91558,0.95593,3.92540
Type06,280,PCA_LINEAR,5.88856,4.78917,3.98746,1.27065,6.56587,1.83946,1.28331,425.75967,0.93449,0.96614,4.13308
Type06,280,PCA_SVR,6.68678,5.85720,4.69383,1.22151,14.99152,2.21261,2.85511,1310.31000,0.90709,0.95128,3.53432
Type06,280,PURE_GPR,5.71154,4.90070,4.94193,1.33806,12.09330,2.22773,3.52273,459.99542,0.95308,0.97597,3.35855
Type06,280,PURE_KRR,6.90468,5.59260,4.08429,1.25085,6.29268,1.77735,0.87235,534.11020,0.93863,0.96834,4.52054
Type06,280,PURE_SVR,7.53271,6.29403,3.59379,1.22786,5.72728,1.78499,0.38675,591.91630,0.93350,0.96561,5.63211
Type06,280,RATIO_CTRL,5.42321,5.11644,5.01541,2.25016,3.74933,4.59463,1.00192,1141.00035,0.93072,0.96412,2.96877
Type07,250,PCA_GPR,12.60317,12.24152,18.83471,3.88118,52.47759,4.13572,18.83471,1676.39288,0.85889,0.92409,12.21589
Type07,250,PCA_KRR,9.15639,9.03093,9.30192,2.17611,29.27015,1.65484,9.30192,739.48684,0.90907,0.95237,8.94995
Type07,250,PCA_LINEAR,9.49753,9.35390,9.98142,2.24915,30.95613,2.03108,9.98142,931.01519,0.90740,0.95145,9.26706
Type07,250,PCA_SVR,9.88265,9.51894,9.85770,2.56808,29.91231,1.38995,9.85770,512.00012,0.90373,0.94943,9.43553
Type07,250,PURE_GPR,10.19305,9.79610,10.58167,2.43297,32.94529,2.29829,10.58167,1027.75038,0.91129,0.95359,9.68751
Type07,250,PURE_KRR,9.34011,9.20916,9.50710,2.30365,29.75753,1.91346,9.50710,769.80081,0.90482,0.95003,9.12990
Type07,250,PURE_SVR,9.72475,9.55545,10.08676,2.50683,31.04205,1.55787,10.08676,697.05280,0.90462,0.94992,9.47774
Type07,250,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type07,270,PCA_GPR,4.99296,4.41711,9.46736,1.50613,7.46508,0.45652,9.46736,513.64681,0.93937,0.96874,4.39953
Type07,270,PCA_KRR,9.88185,9.68684,10.19929,2.41252,31.06164,1.37848,10.15148,757.86165,0.90822,0.95190,9.57871
Type07,270,PCA_LINEAR,9.69989,9.56765,9.91546,2.37138,29.93280,1.25406,9.84747,722.72297,0.90967,0.95270,9.46339
Type07,270,PCA_SVR,9.77047,9.64001,11.19007,2.72214,31.01333,0.88062,11.19007,386.69824,0.90258,0.94879,9.54499
Type07,270,PURE_GPR,8.68291,8.56340,8.89165,2.47643,28.39974,1.91594,8.78129,758.76830,0.91305,0.95455,8.49029
Type07,270,PURE_KRR,10.11445,9.91419,10.30235,2.73299,32.44390,2.41682,10.25738,802.45294,0.89874,0.94667,9.82030
Type07,270,PURE_SVR,10.05792,9.92622,10.33272,2.74679,33.89017,2.76679,10.32676,1026.96219,0.90282,0.94893,9.84488
Type07,270,RATIO_CTRL,1.72487,1.62201,2.41895,0.79736,2.19843,1.37807,0.03509,299.38112,0.96474,0.98205,1.61343
Type07,280,PCA_GPR,6.34456,5.51487,12.27744,2.87575,38.64204,3.61117,11.67117,1546.68092,0.89863,0.94661,5.48312
Type07,280,PCA_KRR,9.25811,8.72231,6.73410,2.45410,19.01744,1.24621,6.72738,1066.60120,0.91307,0.95456,8.45719
Type07,280,PCA_LINEAR,9.63248,9.46267,9.52220,2.53805,28.32624,1.42582,9.52220,917.22211,0.90749,0.95150,9.38745
Type07,280,PCA_SVR,7.86209,7.35022,12.44834,4.18198,3.06915,7.08692,0.16147,1909.27804,0.85667,0.92280,6.89913
Type07,280,PURE_GPR,11.37306,10.50069,10.00921,2.91308,31.32469,2.11292,9.95889,1259.56427,0.89685,0.94562,10.20087
Type07,280,PURE_KRR,9.27180,8.83289,8.79991,2.45821,21.98885,2.08366,7.17473,989.43076,0.91006,0.95292,8.65441
Type07,280,PURE_SVR,11.42758,10.64405,9.99440,2.90656,30.85633,2.11609,9.98695,1228.01768,0.89651,0.94543,10.36826
Type07,280,RATIO_CTRL,3.13297,2.84767,5.43954,1.89788,2.11930,2.61793,0.21361,778.10176,0.93379,0.96576,2.66475
